AREA,AREA_TITLE,PRIM_STATE,GEOGRAPHY_TYPE,COVERAGE_STATUS
0027060,"Ithaca, NY",NY,msa,matched
0027100,"Jackson, MI",MI,msa,matched
0027140,"Jackson, MS",MS,msa,matched
0027180,"Jackson, TN",TN,msa,matched
0027260,"Jacksonville, FL",FL,msa,matched
0027340,"Jacksonville, NC",NC,msa,matched
0027500,"Janesville-Beloit, WI",WI,msa,matched
0027620,"Jefferson City, MO",MO,msa,matched
0027740,"Johnson City, TN",TN,msa,matched
0027780,"Johnstown, PA",PA,msa,matched
0027860,"Jonesboro, AR",AR,msa,matched
0027900,"Joplin, MO-KS",MO,msa,matched
0027980,"Kahului-Wailuku, HI",HI,msa,matched
0028020,"Kalamazoo-Portage, MI",MI,msa,matched
0028100,"Kankakee, IL",IL,msa,matched
0028140,"Kansas City, MO-KS",MO,msa,matched
0028420,"Kennewick-Richland, WA",WA,msa,matched
0028660,"Killeen-Temple, TX",TX,msa,matched
0028700,"Kingsport-Bristol, TN-VA",TN,msa,matched
0028740,"Kingston, NY",NY,msa,matched
0028940,"Knoxville, TN",TN,msa,matched
0029020,"Kokomo, IN",IN,msa,matched
0029100,"La Crosse-Onalaska, WI-MN",WI,msa,matched
0029180,"Lafayette, LA",LA,msa,matched
0029200,"Lafayette-West Lafayette, IN",IN,msa,matched
0029340,"Lake Charles, LA",LA,msa,matched
0029420,"Lake Havasu City-Kingman, AZ",AZ,msa,matched
0029460,"Lakeland-Winter Haven, FL",FL,msa,matched
0029540,"Lancaster, PA",PA,msa,matched
0029620,"Lansing-East Lansing, MI",MI,msa,matched
0029700,"Laredo, TX",TX,msa,matched
0029740,"Las Cruces, NM",NM,msa,matched
0029820,"Las Vegas-Henderson-North Las Vegas, NV",NV,msa,matched
0029940,"Lawrence, KS",KS,msa,matched
0030020,"Lawton, OK",OK,msa,matched
0030140,"Lebanon, PA",PA,msa,matched
0030300,"Lewiston, ID-WA",ID,msa,matched
0030460,"Lexington-Fayette, KY",KY,msa,matched
0030620,"Lima, OH",OH,msa,matched
0030700,"Lincoln, NE",NE,msa,matched
0030780,"Little Rock-North Little Rock-Conway, AR",AR,msa,matched
0030860,"Logan, UT-ID",UT,msa,matched
0030980,"Longview, TX",TX,msa,matched
0031020,"Longview-Kelso, WA",WA,msa,matched
0031080,"Los Angeles-Long Beach-Anaheim, CA",CA,msa,matched
0031140,"Louisville/Jefferson County, KY-IN",KY,msa,matched
0031180,"Lubbock, TX",TX,msa,matched
0031340,"Lynchburg, VA",VA,msa,matched
0031420,"Macon-Bibb County, GA",GA,msa,matched
0031540,"Madison, WI",WI,msa,matched
0031740,"Manhattan, KS",KS,msa,matched
0031860,"Mankato, MN",MN,msa,matched
0031900,"Mansfield, OH",OH,msa,matched
0032420,"Mayaguez, PR",PR,msa,matched
0032580,"McAllen-Edinburg-Mission, TX",TX,msa,matched
0032780,"Medford, OR",OR,msa,matched
0032820,"Memphis, TN-MS-AR",TN,msa,matched
0032900,"Merced, CA",CA,msa,matched
0033100,"Miami-Fort Lauderdale-West Palm Beach, FL",FL,msa,matched
0033140,"Michigan City-La Porte, IN",IN,msa,matched
0033220,"Midland, MI",MI,msa,matched
0033260,"Midland, TX",TX,msa,matched
0033340,"Milwaukee-Waukesha, WI",WI,msa,matched
0033460,"Minneapolis-St. Paul-Bloomington, MN-WI",MN,msa,matched
0033540,"Missoula, MT",MT,msa,matched
0033660,"Mobile, AL",AL,msa,matched
0033700,"Modesto, CA",CA,msa,matched
0033740,"Monroe, LA",LA,msa,matched
0033780,"Monroe, MI",MI,msa,matched
0033860,"Montgomery, AL",AL,msa,matched
0034060,"Morgantown, WV",WV,msa,matched
0034100,"Morristown, TN",TN,msa,matched
0034580,"Mount Vernon-Anacortes, WA",WA,msa,matched
0034620,"Muncie, IN",IN,msa,matched
0034740,"Muskegon-Norton Shores, MI",MI,msa,matched
0034820,"Myrtle Beach-Conway-North Myrtle Beach, SC",SC,msa,matched
0034900,"Napa, CA",CA,msa,matched
0034940,"Naples-Marco Island, FL",FL,msa,matched
0034980,"Nashville-Davidson--Murfreesboro--Franklin, TN",TN,msa,matched
0035380,"New Orleans-Metairie, LA",LA,msa,matched
0035620,"New York-Newark-Jersey City, NY-NJ",NY,msa,matched
0035660,"Niles, MI",MI,msa,matched
0035840,"North Port-Bradenton-Sarasota, FL",FL,msa,matched
0036100,"Ocala, FL",FL,msa,matched
0036220,"Odessa, TX",TX,msa,matched
0036260,"Ogden, UT",UT,msa,matched
0036420,"Oklahoma City, OK",OK,msa,matched
0036500,"Olympia-Lacey-Tumwater, WA",WA,msa,matched
0036540,"Omaha, NE-IA",NE,msa,matched
0036740,"Orlando-Kissimmee-Sanford, FL",FL,msa,matched
0036780,"Oshkosh-Neenah, WI",WI,msa,matched
0036980,"Owensboro, KY",KY,msa,matched
0037100,"Oxnard-Thousand Oaks-Ventura, CA",CA,msa,matched
0037340,"Palm Bay-Melbourne-Titusville, FL",FL,msa,matched
0037460,"Panama City-Panama City Beach, FL",FL,msa,matched
0037620,"Parkersburg-Vienna, WV",WV,msa,matched
0037860,"Pensacola-Ferry Pass-Brent, FL",FL,msa,matched
0037900,"Peoria, IL",IL,msa,matched
0037980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PA,msa,matched
0038060,"Phoenix-Mesa-Chandler, AZ",AZ,msa,matched
0038300,"Pittsburgh, PA",PA,msa,matched
0038540,"Pocatello, ID",ID,msa,matched
0038660,"Ponce, PR",PR,msa,matched
0038900,"Portland-Vancouver-Hillsboro, OR-WA",OR,msa,matched
0038940,"Port St. Lucie, FL",FL,msa,matched
0039340,"Provo-Orem-Lehi, UT",UT,msa,matched
0039380,"Pueblo, CO",CO,msa,matched
0039460,"Punta Gorda, FL",FL,msa,matched
0039540,"Racine-Mount Pleasant, WI",WI,msa,matched
0039580,"Raleigh-Cary, NC",NC,msa,matched
0039660,"Rapid City, SD",SD,msa,matched
0039740,"Reading, PA",PA,msa,matched
0039820,"Redding, CA",CA,msa,matched
0039900,"Reno, NV",NV,msa,matched
0040060,"Richmond, VA",VA,msa,matched
0040140,"Riverside-San Bernardino-Ontario, CA",CA,msa,matched
0040220,"Roanoke, VA",VA,msa,matched
0040340,"Rochester, MN",MN,msa,matched
0040380,"Rochester, NY",NY,msa,matched
0040420,"Rockford, IL",IL,msa,matched
0040580,"Rocky Mount, NC",NC,msa,matched
0040660,"Rome, GA",GA,msa,matched
